filename,relative_path,full_path,size_bytes,size_mb,size_human,sha256,last_modified
sqef_sliced_1024bit_125000keys_from_ENHANCED_master.bin,sample-outputs-ENHANCED-128/1024-bit/sqef_sliced_1024bit_125000keys_from_ENHANCED_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-ENHANCED-128\1024-bit\sqef_sliced_1024bit_125000keys_from_ENHANCED_master.bin,16000000,15.259,15.26 MB,62F0A4AA45CE66EBEC37488B5A292048436F213A1E8FF337ABAAD1F3CA810E56,2025-08-06 16:32:11
sqef_sliced_16MB_1keys_from_ENHANCED_master.bin,sample-outputs-ENHANCED-128/16MB-blocks/sqef_sliced_16MB_1keys_from_ENHANCED_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-ENHANCED-128\16MB-blocks\sqef_sliced_16MB_1keys_from_ENHANCED_master.bin,16777216,16.0,16.00 MB,6A8C690339F29064FF840EC2E2DB1E12BAB8F9B61BEF6EF3B550A79180D2A380,2025-08-06 16:32:12
sqef_sliced_1KB_16384keys_from_ENHANCED_master.bin,sample-outputs-ENHANCED-128/1KB-blocks/sqef_sliced_1KB_16384keys_from_ENHANCED_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-ENHANCED-128\1KB-blocks\sqef_sliced_1KB_16384keys_from_ENHANCED_master.bin,16777216,16.0,16.00 MB,4A9EC2DB16735730AC601B612A3C93D3E6B3975227BD30F7A44DAE38BD7B7534,2025-08-06 16:32:11
sqef_sliced_1MB_16keys_from_ENHANCED_master.bin,sample-outputs-ENHANCED-128/1MB-blocks/sqef_sliced_1MB_16keys_from_ENHANCED_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-ENHANCED-128\1MB-blocks\sqef_sliced_1MB_16keys_from_ENHANCED_master.bin,16777216,16.0,16.00 MB,C57A8448288E7D766FE0C78EAD7F10AF830852179BD14ED43E9BB93F6762333B,2025-08-06 16:32:12
sqef_sliced_2048bit_62500keys_from_ENHANCED_master.bin,sample-outputs-ENHANCED-128/2048-bit/sqef_sliced_2048bit_62500keys_from_ENHANCED_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-ENHANCED-128\2048-bit\sqef_sliced_2048bit_62500keys_from_ENHANCED_master.bin,16000000,15.259,15.26 MB,E8C10D6E9CA40081460FC232BA66D61E8E0B98BE3BEFB2CBC4ABB8418DAF9CC7,2025-08-06 16:32:11
sqef_sliced_256bit_500000keys_from_ENHANCED_master.bin,sample-outputs-ENHANCED-128/256-bit/sqef_sliced_256bit_500000keys_from_ENHANCED_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-ENHANCED-128\256-bit\sqef_sliced_256bit_500000keys_from_ENHANCED_master.bin,16000000,15.259,15.26 MB,A7DDB66F100AF736E73CA8E71A00968DEA98363D64C8F9264F4EF98692854E1D,2025-08-06 16:32:11
sqef_sliced_256MB_1keys_from_ENHANCED_master.bin,sample-outputs-ENHANCED-128/256MB-blocks/sqef_sliced_256MB_1keys_from_ENHANCED_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-ENHANCED-128\256MB-blocks\sqef_sliced_256MB_1keys_from_ENHANCED_master.bin,268435456,256.0,256.00 MB,D879514D3FD0C38BEF5D2C443B6DA570BF330F9F057BB2EEB30499A0A74348D2,2025-08-06 16:45:49
sqef_sliced_4096bit_31250keys_from_ENHANCED_master.bin,sample-outputs-ENHANCED-128/4096-bit/sqef_sliced_4096bit_31250keys_from_ENHANCED_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-ENHANCED-128\4096-bit\sqef_sliced_4096bit_31250keys_from_ENHANCED_master.bin,16000000,15.259,15.26 MB,640031D3FDC954721DA0FDB02C1F634FF6AA3D4237692EE3A36C55EFE33FE825,2025-08-06 16:32:11
sqef_sliced_4KB_4096keys_from_ENHANCED_master.bin,sample-outputs-ENHANCED-128/4KB-blocks/sqef_sliced_4KB_4096keys_from_ENHANCED_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-ENHANCED-128\4KB-blocks\sqef_sliced_4KB_4096keys_from_ENHANCED_master.bin,16777216,16.0,16.00 MB,7C536288A4EBD891255DBA44EC4529AD2639D2DBD6DE22C391C0DB1E33AFB00C,2025-08-06 16:32:12
sqef_sliced_512bit_250000keys_from_ENHANCED_master.bin,sample-outputs-ENHANCED-128/512-bit/sqef_sliced_512bit_250000keys_from_ENHANCED_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-ENHANCED-128\512-bit\sqef_sliced_512bit_250000keys_from_ENHANCED_master.bin,16000000,15.259,15.26 MB,8A0893B511A5D4F44886FC954C2EF9A54F3A08D2CB021D608C5589DF53C314DD,2025-08-06 16:32:11
sqef_master_512mb_ENHANCED_for_slicing.bin,sample-outputs-ENHANCED-128/512MB-master/sqef_master_512mb_ENHANCED_for_slicing.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-ENHANCED-128\512MB-master\sqef_master_512mb_ENHANCED_for_slicing.bin,536870912,512.0,512.00 MB,E1A22355B3CBF86E1CDA6B008BB3C6D6CA39FBEBBC948A1C425A73CEA1267F75,2025-08-06 16:32:10
sqef_sliced_1024bit_125000keys_from_MAXIMUM_master.bin,sample-outputs-MAXIMUM-32/1024-bit/sqef_sliced_1024bit_125000keys_from_MAXIMUM_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-MAXIMUM-32\1024-bit\sqef_sliced_1024bit_125000keys_from_MAXIMUM_master.bin,16000000,15.259,15.26 MB,1BBECC93E222C1127B270E9F3433BFD2D64B90C6AC581BE0EDB44B9E49D6AB24,2025-08-06 17:47:42
